,Diện tích,Mức giá,Mặt tiền,Đường vào,Số phòng ngủ,Số toilet,id,legal codes,direction codes,most_similar
1306,200.0,4.7,0,0,0,0,34339008,80,-1,"['34293246', '34224055', '34261551', '34053248', '34333071']"
1307,60000.0,0.0021666666666666666,0,0,0,0,34339102,-1,-1,"['34329155', '29252639', '34240489', '34329950', '33437017']"
1308,120.0,1.0175,6,10,0,0,34339123,80,-1,"['34332635', '34330402', '34332684', '34333866', '34181773']"
1309,1100.0,0.12727272727272726,0,0,0,0,34339153,80,-1,"['34328780', '33989067', '34148426', '34327860', '32742260']"
1310,2600.0,0.28076923076923077,65,40,0,0,34339230,-1,-1,"['34339490', '34228380', '34042610', '34270905', '34336401']"
1311,375.0,1.0133333333333334,10,12,0,0,34339231,80,-1,"['33473976', '34327565', '34319008', '34325208', '33685993']"
1312,200.0,0.0,3,25,0,0,34339261,-1,-1,"['26176175', '31912287', '31628660', '34141014', '34008850']"
1313,220.0,0.0,0,0,0,0,34339323,-1,-1,"['33505595', '31759774', '34043641', '33691639', '33715013']"
1314,1000.0,0.105,20,0,0,0,34339363,80,-1,"['34333683', '34323060', '32309277', '33553127', '32855802']"
1315,150.0,4.333333333333333,5,0,0,0,34339385,-1,-1,"['31713145', '33962987', '33412522', '30311237', '34193084']"
1316,150.0,6.0,5,10,0,0,34339464,80,-1,"['34311194', '34247259', '34312589', '34278274', '34325596']"
1317,3000.0,0.22666666666666666,45,42,0,0,34339490,-1,-1,"['34339230', '33935288', '33910946', '34042610', '28923611']"
1318,1000.0,5.0,12,15,0,0,34339594,80,-1,"['34307021', '34299272', '34332160', '33230959', '24217634']"
1319,200.0,0.0,0,0,0,0,34339666,3,-1,"['31002930', '34271452', '34034175', '34187248', '33408433']"
1320,200.0,0.0,10,10,0,0,34339667,80,-1,"['34107528', '34131539', '34293910', '34344245', '31787438']"
1321,250.0,0.52,8,6,0,0,34339669,80,-1,"['34109656', '33674610', '33522399', '34104978', '34303318']"
1322,500.0,2.1,12,10,0,0,34339762,80,-1,"['33187233', '32580236', '34188320', '32807928', '33796916']"
1323,100.0,0.0,0,0,0,0,34340272,-1,-1,"['34043433', '33857239', '32430634', '33637492', '28476777']"
1324,333.9,0.7337526205450735,7,20,0,0,34340306,80,-1,"['34230888', '34317562', '34347475', '33593839', '34267066']"
1325,5600.0,0.17857142857142858,30,5,0,0,34340308,90,-1,"['34292360', '33762925', '34302868', '33866726', '34042072']"
1326,500.0,0.0,0,0,0,0,34340386,110,-1,"['34305435', '34317537', '30735362', '34332720', '32873490']"
1327,247.88,8.875262223656609,0,0,10,11,34340476,-1,-1,"['30926503', '33875972', '34328478', '34328486', '31221606']"
1328,1390.0,0.47338129496402875,10,20,0,0,34340517,80,-1,"['34320246', '34267066', '34177636', '34277400', '33593839']"
1329,100.0,7.9,0,0,0,0,34340523,80,-1,"['33305214', '34100951', '34329343', '34144569', '34287503']"
1330,1055.0,1.35,0,5,0,0,34340923,80,-1,"['34276472', '33843759', '33617384', '34248354', '33595039']"
1331,186.0,0.5483870967741935,6,7,0,0,34341035,80,-1,"['34259895', '33961894', '34268461', '34262126', '34271386']"
